company_name,website,industry,city,state,country
Leexo,fema.gov,Major Pharmaceuticals,Sankanan,,Philippines
Quinu,tmall.com,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Xinxing,,China
Plambee,amazon.com,n/a,Naushki,,Russia
Oyope,1688.com,Hotels/Resorts,Lahān,,Nepal
Skaboo,godaddy.com,Other Consumer Services,Méru,Picardie,France
Yakidoo,cloudflare.com,Oil & Gas Production,Mantalongon,,Philippines
Agivu,seattletimes.com,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Balkanabat,,Turkmenistan
Voolia,google.de,Major Chemicals,Hoani,,Comoros
Jetpulse,spotify.com,Major Chemicals,Rochester,New York,United States
Topdrive,cpanel.net,Biotechnology: In Vitro & In Vivo Diagnostic Substances,San Vicente,,Philippines
Linktype,dmoz.org,n/a,Serzedo,Porto,Portugal
Wikizz,amazon.co.jp,EDP Services,Sovetakan,,Armenia
Tanoodle,wikimedia.org,Containers/Packaging,Murici,,Brazil
Shufflebeat,un.org,Semiconductors,Pul-e Sangī,,Afghanistan
Zazio,livejournal.com,Real Estate Investment Trusts,Alemanguan,,Philippines
